iterations,batch,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S),power_batch,avg_power(W),power_elapsed_time(ms),total_energy(kJ),energy_per_batch(kJ),est_energy_for_10k_batches(kJ)
60000,1,100,8018.085,100,5,3.741541777,,,,,,
60000,1,150,7938.43,150,5,5.668627172,,,,,,
60000,1,200,7936.655,200,5,7.559859916,,,,,,
60000,1,500,8081.76,500,5,18.5603136,,,,,,
60000,1,1000,7785.365,1000,5,38.53383881,50,82.44363636,881,0.072632844,0.001452657,14.52656873
60000,1,2000,8066.82,2000,5,74.37875148,50,82.3875,887,0.073077713,0.001461554,14.6155425
60000,1,5000,9248.955,5000,5,162.1804842,50,83.65818182,896,0.074957731,0.001499155,14.99154618
60000,1,10000,6677.59,10000,5,449.2638811,50,85.1075,894,0.076086105,0.001521722,15.217221
60000,1,20000,9335.065,20000,5,642.737892,50,88.15083333,888,0.07827794,0.001565559,15.655588
60000,1,30000,9123.73,30000,5,986.4386605,50,90.51166667,945,0.085533525,0.001710671,17.106705
Max,,,,,,986.4386605,,,,,,
